,ACDC,,FCA,
index,MOJOFM,A2A,MOJOFM,A2A
release1--release2,0.0,0.0,87.45,94.6015979270136
release2--release3,0.0,0.0,33.33,80.69819950211313
release3--release4,0.0,0.0,86.09,94.83633524786707
release4--release5,0.0,0.0,85.58,92.6872770511296
release5--release6,0.0,0.0,79.96,93.70964100248364
release6--release7,0.0,0.0,77.8,94.85962633629732
release7--release8,0.0,0.0,83.82,85.32402572417963
release8--release9,0.0,0.0,86.59,96.95916143427948
release9--release10,0.0,0.0,84.8,96.45323133475733
release10--release11,0.0,0.0,80.73,96.4800356903859
release11--release12,0.0,0.0,74.05,83.24704317674441
release12--release13,0.0,0.0,87.34,91.54640234194443
release13--release14,0.0,0.0,77.04,94.16427889207259
release14--release15,0.0,0.0,80.46,92.53553493914376
release15--release16,0.0,0.0,75.6,85.5475540104296
release16--release17,0.0,0.0,76.15,92.16060250391236
release17--release18,0.0,0.0,84.97,92.87281847632981
release18--release19,0.0,0.0,83.35,93.02010626106886
release19--release20,0.0,0.0,87.41,96.76786970946014
