,ACDC,,,FCA
index,MOJOFM,A2A,MOJOFM,A2A
release1--release2,93.5,97.79197224,87.45,94.60159793
release2--release3,90.98,94.80859586,33.33,80.6981995
release3--release4,92.36,96.97719772,86.09,94.83633525
release4--release5,92.46,95.64743497,85.58,92.68727705
release5--release6,89.85,96.10845743,79.96,93.709641
release6--release7,94.1,97.99043725,77.8,94.85962634
release7--release8,92.36,85.14305412,83.82,85.32402572
release8--release9,94.44,98.64539641,86.59,96.95916143
release9--release10,91.68,97.89618426,84.8,96.45323133
release10--release11,91.39,97.87044034,80.73,96.48003569
release11--release12,88.19,82.87308037,74.05,83.24704318
release12--release13,93.11,97.44206835,87.34,91.54640234
release13--release14,91.86,97.50409165,77.04,94.16427889
release14--release15,92.46,96.72978781,80.46,92.53553494
release15--release16,89.96,83.78842975,75.6,85.54755401
release16--release17,90.62,97.08540739,76.15,92.1606025
release17--release18,93.85,98.11173837,84.97,92.87281848
release18--release19,93.89,98.08933643,83.35,93.02010626
release19--release20,94.32,98.24077047,87.41,96.76786971
release20--release21,94.78,98.76559002,77.51,96.75559098
release21--release22,89.81,96.94286988,80.03,95.34815251
release22--release23,94.75,98.48715027,90.1,97.18309859
release23--release24,96.23,98.84688091,91.29,99.75085168
release24--release25,88.46,93.93846343,82.53,92.72646361
release25--release26,93.22,97.57886576,82.54,95.96631206
release26--release27,92.85,97.72526372,80.65,95.14567399
release27--release28,94.8,98.51838838,84.3,95.51483202
release28--release29,92.43,97.36642778,80.39,94.15589829
release29--release30,92.48,98.11058305,89.23,95.75260493
release30--release31,96.73,99.13189421,91.98,99.94401105
release31--release32,94.13,95.39777983,85.82,93.19322201
release32--release33,93.82,98.44047825,89.37,92.93502393
release33--release34,95,98.78203648,96.03,99.94659261
release34--release35,91.67,97.91390538,92.51,93.29940252
release35--release36,93.99,98.49225988,88.67,99.97733797
release36--release37,87.19,87.19539711,83.59,88.09422263
release37--release38,95.28,98.25718841,92.22,95.49949173
release38--release39,95.46,98.66368496,83.17,93.34735641
release39--release40,95.59,95.40123288,84.85,93.49012712
release40--release41,94.32,98.56885344,76.86,97.01725754
release41--release42,95.22,98.23475096,90.03,93.28502989
release42--release43,95.13,98.69372773,82.89,92.60995598
release43--release44,94.32,98.25918762,75,97.00739846
release44--release45,96.58,99.01058937,82.72,97.80344274
release45--release46,95.8,98.63328173,78.78,91.64941339
release46--release47,95.75,98.9863423,94.55,99.98078863
release47--release48,88.08,91.22861911,86.31,88.17940699
release48--release49,93.74,96.4028777,85.76,94.6146795
release49--release50,92.86,97.64912281,82.43,92.46001269
release50--release51,92.74,96.92773476,83.93,94.22106463
release51--release52,94.64,98.38010832,80.09,95.68916278
release52--release53,93.13,97.98753252,85.65,93.62430327
release53--release54,93.23,98.34362442,93.11,99.39907327
release54--release55,93.28,98.30176675,81.71,92.93965648
release55--release56,95.71,98.8763496,81.72,94.62369668
release56--release57,95.67,98.65647666,82.37,97.6564909
release57--release58,95.02,98.4855083,77.84,97.95196551
release58--release59,96.12,98.94995424,82.01,96.16087751
release59--release60,89.9,85.46185128,74.61,85.13495935
release60--release61,93.81,97.59724846,79.23,91.22052047
release61--release62,90.63,96.73438025,82.37,91.89516573
release62--release63,93.91,98.31124719,89.54,96.7925769
release63--release64,93.98,98.12678742,82.44,92.20032066
release64--release65,93.84,98.28330251,79.82,94.58229942
release65--release66,94.8,98.45253821,90.55,92.52853193
release66--release67,95.2,98.45418775,87.71,93.88466762
release67--release68,95.79,98.89008068,87.04,97.15655066
release68--release69,96.44,98.68170635,88.59,92.87127428
release69--release70,95.79,98.48763446,87.13,93.45232675
release70--release71,96.35,99.05375754,91,97.31439521
release71--release72,96.29,99.00931337,90.55,95.63536204
release72--release73,96.08,99.06056184,93.34,100
release73--release74,95.36,98.67881549,65.62,96.98349884
release74--release75,94.5,98.58565646,71.71,97.62979972
release75--release76,95.97,99.02281611,75.75,100
release76--release77,96.11,98.98181818,75.62,99.94307008
release77--release78,90.97,94.32265839,68.66,89.56511768
release78--release79,94.89,97.89419379,73.24,92.4047524
release79--release80,95.48,98.65354258,80.46,96.13978782
release80--release81,95.08,98.57222068,85.5,98.2909661
release81--release82,92.84,97.63725445,78,93.08852424
release82--release83,94.83,98.58732682,75.54,96.4849486
release83--release84,95.28,97.95890842,73.66,94.59999481
release84--release85,93.82,97.24241223,81.99,93.18373398
release85--release86,94.67,98.47049622,79.38,95.44217687
release86--release87,95.34,98.67925345,85.36,96.55544758
release87--release88,96.53,99.1311114,89.66,99.96943086
release88--release89,94.35,98.37005735,85.75,95.50082879
release89--release90,95.01,98.50675821,85.96,93.32148627
release90--release91,94.58,98.47908745,85.3,93.79521964
release91--release92,95.93,98.82523197,87.32,99.84828371
release92--release93,95.6,98.79993215,84.14,95.27625987
release93--release94,94.95,98.58606384,89.85,97.51814224
release94--release95,96.18,99.06898011,85.41,99.43020759
release95--release96,96.07,98.95119682,86.18,99.90048054
release96--release97,87.17,77.17455002,69.7,80.47571853
release97--release98,89.68,92.63659945,81.27,89.88608741
release98--release99,92.05,95.69363919,78.81,90.93293796
release99--release100,93.06,94.38489446,72.05,90.66570838
release100--release101,95.66,97.07807953,80.94,92.16082073
release101--release102,96.11,98.00510693,82.74,93.33855449
release102--release103,86.27,95.50336363,49.59,88.16319678
release103--release104,92.47,97.45884734,72.6,92.31525108
release104--release105,94.6,98.13026346,89.88,95.23823375
release105--release106,94.26,96.11396974,81.04,96.551894
release106--release107,94.7,98.05906851,74.29,97.88141652
release107--release108,94.12,98.36739354,77.4,98.31363505
release108--release109,94.92,98.64736502,71.94,94.85708352
release109--release110,95.37,98.74416664,85.38,99.00942598
release110--release111,92.67,98.16920628,83.28,99.86642678
