,ACDC,,FCA,
index,MOJOFM,A2A,MOJOFM,A2A
release165--release167,0.0,0.0,93.06,93.7819923100512
release166--release168,0.0,0.0,95.92,99.61580562769635
release167--release169,0.0,0.0,74.57,94.04465999797918
release168--release170,0.0,0.0,83.23,94.16773005878292
release169--release171,0.0,0.0,90.54,97.16584817466423
release170--release172,0.0,0.0,92.75,99.94492381127226
release171--release173,0.0,0.0,84.44,97.38326098421842
release172--release174,0.0,0.0,84.47,97.38373861723487
release173--release175,0.0,0.0,81.77,94.70298501125217
release174--release176,0.0,0.0,81.81,94.70946648833407
release175--release177,0.0,0.0,86.21,98.15537813651518
release176--release178,0.0,0.0,86.22,98.18377240123715
release177--release179,0.0,0.0,84.06,95.70057167511595
release178--release180,0.0,0.0,84.08,95.69718537690068
release179--release181,0.0,0.0,79.41,93.10647097165719
