,ACDC,,FCA,
index,MOJOFM,A2A,MOJOFM,A2A
release1--release2,0.0,0.0,0.0,100.0
release2--release3,0.0,0.0,0.0,78.7465940054496
release3--release4,0.0,0.0,0.0,100.0
release4--release5,0.0,0.0,0.0,88.0987472365512
release5--release6,0.0,0.0,0.0,100.0
release6--release7,0.0,0.0,0.0,93.99875621890547
release7--release8,0.0,0.0,0.0,100.0
release8--release9,0.0,0.0,0.0,84.51862602806
release9--release10,0.0,0.0,0.0,100.0
release10--release11,0.0,0.0,0.0,93.46870420766172
release11--release12,0.0,0.0,0.0,100.0
release12--release13,0.0,0.0,0.0,92.51585623678646
release13--release14,0.0,0.0,0.0,100.0
release14--release15,0.0,0.0,0.0,93.42681858019282
release15--release16,0.0,0.0,0.0,100.0
release16--release17,0.0,0.0,0.0,92.12471131639724
release17--release18,0.0,0.0,0.0,100.0
release18--release19,0.0,0.0,0.0,92.50830989516747
release19--release20,0.0,0.0,0.0,100.0
release20--release21,0.0,0.0,0.0,91.6497461928934
release21--release22,0.0,0.0,0.0,100.0
release22--release23,0.0,0.0,0.0,90.91335994364874
release23--release24,0.0,0.0,0.0,100.0
release24--release25,0.0,0.0,0.0,94.57627118644068
release25--release26,0.0,0.0,0.0,100.0
release26--release27,0.0,0.0,0.0,98.9010989010989
release27--release28,0.0,0.0,0.0,100.0
