,ACDC,,FCA,,,
index,MOJOFM,A2A,MOJOFM,A2A,,
release1--release2,0,0,100,19.36351412,70,5
release2--release3,0,0,93.15,98.60864417,80,2
release3--release4,0,0,100,16.83540642,90,2
release4--release5,0,0,95.97,99.94318182,,140
release5--release6,0,0,100,16.570771,,
release6--release7,0,0,100,21.81431232,,
release7--release8,0,0,88.88,98.11859967,,
release8--release9,0,0,88.3,94.22084623,,
release9--release10,0,0,78.83,82.58906172,,
release10--release11,0,0,92.76,98.80026661,,
release11--release12,0,0,92.95,99.66307278,,
release12--release13,0,0,94.4,99.90972692,,
release13--release14,0,0,91.73,97.30211817,,
release14--release15,0,0,91.54,96.57724329,,
release15--release16,0,0,93.02,96.51682749,,
release16--release17,0,0,95.37,100,,
release17--release18,0,0,95.06,99.84058301,,
release18--release19,0,0,95.16,99.68397291,,
release19--release20,0,0,83.14,92.14559387,,
release20--release21,0,0,91.56,99.19484702,,
release21--release22,0,0,86.91,97.43589744,,
release22--release23,0,0,90.16,98.14855151,,
release23--release24,0,0,91.59,99.63760392,,
release24--release25,0,0,89.93,98.72863693,,
release25--release26,0,0,90.72,99.71416905,,
release26--release27,0,0,91.22,99.15585753,,
release27--release28,0,0,93.44,99.97918401,,
release28--release29,0,0,92.96,99.83333333,,
release29--release30,0,0,92.86,99.75020816,,
release30--release31,0,0,92.98,99.52361226,,
release31--release32,0,0,88.47,90.67142008,,
release32--release33,0,0,93.92,99.35447124,,
release33--release34,0,0,90.55,98.77932481,,
release34--release35,0,0,95.23,99.63601533,,
release35--release36,0,0,95.42,99.65759939,,
release36--release37,0,0,94.58,96.48506151,,
release37--release38,0,0,94.76,99.18456643,,
release38--release39,0,0,89.49,95.55427252,,
release39--release40,0,0,93.25,98.99758678,,
release40--release41,0,0,92.34,99.68949772,,
release41--release42,0,0,85.58,79.17037565,,
release42--release43,0,0,94.06,99.09941727,,
release43--release44,0,0,91.21,98.11486963,,
release44--release45,0,0,92.15,99.74137931,,
release45--release46,0,0,92.34,100,,
release46--release47,0,0,91.64,99.62251201,,
release47--release48,0,0,92.44,99.8459168,,
release48--release49,0,0,94.84,99.07633322,,
release49--release50,0,0,92.28,96.24320316,,
release50--release51,0,0,91.15,99.72337483,,
release51--release52,0,0,91.31,99.89252265,,
release52--release53,0,0,92.28,98.48362639,,
release53--release54,0,0,94.72,99.89804588,,
release54--release55,0,0,94.95,100,,
release55--release56,0,0,94.95,99.8812553,,
release56--release57,0,0,94.97,100,,
release57--release58,0,0,94.97,100,,
release58--release59,0,0,94.51,100,,
release59--release60,0,0,90.49,97.29866622,,
release60--release61,0,0,94,99.02060115,,
release61--release62,0,0,94.33,99.81378026,,
release62--release63,0,0,85.96,93.16789216,,
release63--release64,0,0,89.41,98.13599761,,
release64--release65,0,0,96.04,99.95214548,,
release65--release66,0,0,96.18,100,,
release66--release67,0,0,95.24,99.20087747,,
release67--release68,0,0,95.29,99.89235737,,
release68--release69,0,0,95.3,100,,
release69--release70,0,0,95.09,99.86185725,,
release70--release71,0,0,95.51,99.83134008,,
release71--release72,0,0,95.79,100,,
release72--release73,0,0,95.79,100,,
release73--release74,0,0,95.79,100,,
release74--release75,0,0,92.49,98.43202923,,
release75--release76,0,0,93.69,99.51226947,,
release76--release77,0,0,95.99,99.81609195,,
release77--release78,0,0,96.28,100,,
release78--release79,0,0,95.93,99.6947031,,
release79--release80,0,0,96.29,99.8015873,,
release80--release81,0,0,95.08,99.04571341,,
release81--release82,0,0,92.76,98.43582273,,
release82--release83,0,0,93.23,98.48555092,,
release83--release84,0,0,96.08,99.68666771,,
release84--release85,0,0,96.05,100,,
release85--release86,0,0,96.05,99.8443822,,
release86--release87,0,0,95.99,99.98446723,,
release87--release88,0,0,96.06,99.78267619,,
release88--release89,0,0,94.94,99.73635236,,
release89--release90,0,0,95.86,99.96901147,,
release90--release91,0,0,94.66,99.2449923,,
release91--release92,0,0,95.09,99.96935336,,
release92--release93,0,0,95.09,100,,
release93--release94,0,0,95.09,100,,
release94--release95,0,0,95.09,100,,
release95--release96,0,0,95.09,100,,
release96--release97,0,0,89.66,44.95681452,,
release97--release98,0,0,96.02,99.0142996,,
release98--release99,0,0,96.97,99.94501718,,
release99--release100,0,0,92.58,97.52574562,,
release100--release101,0,0,95.98,97.93550128,,
release101--release102,0,0,97.35,99.97202015,,
release102--release103,0,0,96.73,99.63682079,,
release103--release104,0,0,97.11,99.58275382,,
release104--release105,0,0,97.57,100,,
release105--release106,0,0,93.88,98.78610297,,
release106--release107,0,0,97.09,99.80372915,,
release107--release108,0,0,97.29,100,,
release108--release109,0,0,96.98,99.90200196,,
release109--release110,0,0,97.17,99.97199664,,
release110--release111,0,0,97.1,99.9299818,,
release111--release112,0,0,94.51,99.08663161,,
release112--release113,0,0,94.57,99.47973713,,
release113--release114,0,0,95.38,99.91781948,,
release114--release115,0,0,95.27,99.90424077,,
release115--release116,0,0,95.14,99.83590866,,
release116--release117,0,0,95.45,100,,
release117--release118,0,0,95.27,99.95897155,,
release118--release119,0,0,95.45,100,,
release119--release120,0,0,82.72,79.18403436,,
release120--release121,0,0,87.86,99.35506567,,
release121--release122,0,0,90.78,98.4799905,,
release122--release123,0,0,88.84,98.90891841,,
release123--release124,0,0,88.43,99.34533552,,
release124--release125,0,0,88.42,99.82490954,,
release125--release126,0,0,87.79,98.69519219,,
release126--release127,0,0,91.31,99.94069505,,
