,ACDC,,FCA,
index,MOJOFM,A2A,MOJOFM,A2A
commit1--commit2,0,0,0,100
commit2--commit3,0,0,0,100
commit3--commit4,0,0,0,100
commit4--commit5,0,0,0,100
commit5--commit6,0,0,0,99.90412272
commit6--commit7,0,0,0,100
commit7--commit8,0,0,0,100
commit8--commit9,0,0,0,100
commit9--commit10,0,0,0,100
commit10--commit11,0,0,0,100
commit11--commit12,0,0,0,100
commit12--commit13,0,0,0,100
commit13--commit14,0,0,0,100
commit14--commit15,0,0,0,100
commit15--commit16,0,0,0,100
commit16--commit17,0,0,0,92.66963843
commit17--commit18,0,0,0,99.44077275
commit18--commit19,0,0,0,100
commit19--commit20,0,0,0,91.61793372
commit20--commit21,0,0,0,99.81105338
commit21--commit22,0,0,0,100
commit22--commit23,0,0,0,99.62157048
commit23--commit24,0,0,0,100
commit24--commit25,0,0,0,100
commit25--commit26,0,0,0,100
commit26--commit27,0,0,0,100
commit27--commit28,0,0,0,91.03182257
commit28--commit29,0,0,0,100
commit29--commit30,0,0,0,100
commit30--commit31,0,0,0,100
commit31--commit32,0,0,0,100
commit32--commit33,0,0,0,97.28971963
commit33--commit34,0,0,0,99.82214317
commit34--commit35,0,0,0,100
commit35--commit36,0,0,0,100
commit36--commit37,0,0,0,100
commit37--commit38,0,0,0,100
commit38--commit39,0,0,0,99.50980392
commit39--commit40,0,0,0,99.86577181
commit40--commit41,0,0,0,100
commit41--commit42,0,0,0,100
commit42--commit43,0,0,0,100
commit43--commit44,0,0,0,100
commit44--commit45,0,0,0,100
commit45--commit46,0,0,0,100
commit46--commit47,0,0,0,100
commit47--commit48,0,0,0,100
commit48--commit49,0,0,0,100
commit49--commit50,0,0,0,100
commit50--commit51,0,0,0,100
commit51--commit52,0,0,0,100
commit52--commit53,0,0,0,100
commit53--commit54,0,0,0,100
commit54--commit55,0,0,0,100
commit55--commit56,0,0,0,100
commit56--commit57,0,0,0,100
commit57--commit58,0,0,0,99.91055456
commit58--commit59,0,0,0,100
commit59--commit60,0,0,0,100
commit60--commit61,0,0,0,97.72329247
commit61--commit62,0,0,0,21.68674699
commit62--commit63,0,0,0,100
commit63--commit64,0,0,0,100
commit64--commit65,0,0,0,100
commit65--commit66,0,0,0,100
commit66--commit67,0,0,0,100
commit67--commit68,0,0,0,95.61808118
commit68--commit69,0,0,0,99.74500637
commit69--commit70,0,0,0,100
commit70--commit71,0,0,0,100
commit71--commit72,0,0,0,98.45758355
commit72--commit73,0,0,0,100
commit73--commit74,0,0,0,100
commit74--commit75,0,0,0,100
commit75--commit76,0,0,0,100
commit76--commit77,0,0,0,100
commit77--commit78,0,0,0,100
commit78--commit79,0,0,0,99.91356958
commit79--commit80,0,0,0,100
commit80--commit81,0,0,0,100
commit81--commit82,0,0,0,100
commit82--commit83,0,0,0,100
commit83--commit84,0,0,0,100
commit84--commit85,0,0,0,100
commit85--commit86,0,0,0,100
commit86--commit87,0,0,0,100
commit87--commit88,0,0,0,98.52813853
commit88--commit89,0,0,0,100
commit89--commit90,0,0,0,99.65277778
commit90--commit91,0,0,0,99.91326973
commit91--commit92,0,0,0,97.68518519
commit92--commit93,0,0,0,100
commit93--commit94,0,0,0,100
commit94--commit95,0,0,0,99.70384995
commit95--commit96,0,0,0,100
commit96--commit97,0,0,0,100
commit97--commit98,0,0,0,100
commit98--commit99,0,0,0,100
commit99--commit100,0,0,0,100
commit100--commit101,0,0,0,100
commit101--commit102,0,0,0,100
commit102--commit103,0,0,0,100
commit103--commit104,0,0,0,100
commit104--commit105,0,0,0,100
commit105--commit106,0,0,0,100
commit106--commit107,0,0,0,100
commit107--commit108,0,0,0,100
commit108--commit109,0,0,0,100
commit109--commit110,0,0,0,100
commit110--commit111,0,0,0,100
commit111--commit112,0,0,0,100
commit112--commit113,0,0,0,100
commit113--commit114,0,0,0,100
commit114--commit115,0,0,0,100
commit115--commit116,0,0,0,100
commit116--commit117,0,0,0,100
commit117--commit118,0,0,0,100
commit118--commit119,0,0,0,100
commit119--commit120,0,0,0,100
commit120--commit121,0,0,0,100
commit121--commit122,0,0,0,100
commit122--commit123,0,0,0,99.90205681
commit123--commit124,0,0,0,100
commit124--commit125,0,0,0,100
commit125--commit126,0,0,0,100
commit126--commit127,0,0,0,100
commit127--commit128,0,0,0,100
commit128--commit129,0,0,0,100
commit129--commit130,0,0,0,100
commit130--commit131,0,0,0,98.68868383
commit131--commit132,0,0,0,99.85583854
commit132--commit133,0,0,0,100
commit133--commit134,0,0,0,100
commit134--commit135,0,0,0,100
commit135--commit136,0,0,0,99.85645933
commit136--commit137,0,0,0,100
commit137--commit138,0,0,0,100
commit138--commit139,0,0,0,100
commit139--commit140,0,0,0,100
commit140--commit141,0,0,0,100
commit141--commit142,0,0,0,100
commit142--commit143,0,0,0,100
commit143--commit144,0,0,0,100
commit144--commit145,0,0,0,99.95219885
commit145--commit146,0,0,0,100
commit146--commit147,0,0,0,100
commit147--commit148,0,0,0,100
commit148--commit149,0,0,0,100
commit149--commit150,0,0,0,100
commit150--commit151,0,0,0,100
commit151--commit152,0,0,0,100
commit152--commit153,0,0,0,100
