,ACDC,,FCA,
index,MOJOFM,A2A,MOJOFM,A2A
release1--release2,0.0,0.0,0.0,100.0
release2--release3,0.0,0.0,0.0,100.0
release3--release4,0.0,0.0,0.0,96.40179910044976
release4--release5,0.0,0.0,0.0,100.0
release5--release6,0.0,0.0,0.0,100.0
release6--release7,0.0,0.0,0.0,98.27338129496403
release7--release8,0.0,0.0,0.0,100.0
release8--release9,0.0,0.0,0.0,100.0
release9--release10,0.0,0.0,0.0,100.0
release10--release11,0.0,0.0,0.0,100.0
release11--release12,0.0,0.0,0.0,100.0
release12--release13,0.0,0.0,0.0,100.0
release13--release14,0.0,0.0,0.0,100.0
release14--release15,0.0,0.0,0.0,76.32211538461539
release15--release16,0.0,0.0,0.0,93.77470355731225
release16--release17,0.0,0.0,0.0,90.44642857142857
release17--release18,0.0,0.0,0.0,90.72072072072072
release18--release19,0.0,0.0,0.0,100.0
release19--release20,0.0,0.0,0.0,100.0
release20--release21,0.0,0.0,0.0,84.73429951690821
release21--release22,0.0,0.0,0.0,90.04566210045662
release22--release23,0.0,0.0,0.0,83.08605341246292
release23--release24,0.0,0.0,0.0,94.18676561533704
release24--release25,0.0,0.0,0.0,91.1318553092182
release25--release26,0.0,0.0,0.0,87.87703016241299
release26--release27,0.0,0.0,0.0,89.64525407478428
release27--release28,0.0,0.0,0.0,85.54429263992948
release28--release29,0.0,0.0,0.0,23.46743295019157
release29--release30,0.0,0.0,0.0,85.0
release30--release31,0.0,0.0,0.0,86.88927943760984
release31--release32,0.0,0.0,0.0,90.07168458781362
release32--release33,0.0,0.0,0.0,56.70935412026725
release33--release34,0.0,0.0,0.0,63.604565537555224
release34--release35,0.0,0.0,0.0,77.50385208012327
release35--release36,0.0,0.0,0.0,80.14272970561998
release36--release37,0.0,0.0,0.0,81.14525139664805
release37--release38,0.0,0.0,0.0,94.93438897441536
release38--release39,0.0,0.0,0.0,81.8994588659713
release39--release40,0.0,0.0,0.0,94.51403048839693
release40--release41,0.0,0.0,0.0,84.01769509981851
release41--release42,0.0,0.0,0.0,86.81141938078005
release42--release43,0.0,0.0,0.0,92.2393563526651
release43--release44,0.0,0.0,0.0,96.17268138325925
release44--release45,0.0,0.0,0.0,84.54678125506729
