,ACDC,,FCA,
index,MOJOFM,A2A,MOJOFM,A2A
release1--release3,0.0,0.0,87.5,30.706521739130434
release2--release4,0.0,0.0,87.5,30.706521739130434
release3--release5,0.0,0.0,93.98,100.0
release4--release6,0.0,0.0,63.64,79.8216276477146
release5--release7,0.0,0.0,62.6,76.85290763968074
release6--release8,0.0,0.0,81.6,95.37366548042705
release7--release9,0.0,0.0,89.34,100.0
release8--release10,0.0,0.0,57.81,47.07560627674751
release9--release11,0.0,0.0,56.59,46.567586694975226
release10--release12,0.0,0.0,72.97,65.50424128180961
release11--release13,0.0,0.0,70.5,66.43962848297214
release12--release14,0.0,0.0,52.24,85.02088720907102
release13--release15,0.0,0.0,66.15,85.43284713013828
release14--release16,0.0,0.0,58.85,82.42706715000863
release15--release17,0.0,0.0,60.09,82.27098571926157
release16--release18,0.0,0.0,66.19,88.7063655030801
release17--release19,0.0,0.0,51.68,79.37568157033806
release18--release20,0.0,0.0,58.24,76.58843732112193
release19--release21,0.0,0.0,71.92,90.79344262295082
release20--release22,0.0,0.0,48.4,84.48799916151347
release21--release23,0.0,0.0,63.74,82.85824345146379
release22--release24,0.0,0.0,59.97,90.52281867459347
release23--release25,0.0,0.0,56.06,87.59802497821667
release24--release26,0.0,0.0,45.1,86.29333786539769
release25--release27,0.0,0.0,53.37,79.37873115450775
release26--release28,0.0,0.0,60.94,79.1310001083541
release27--release29,0.0,0.0,72.44,83.3283950617284
release28--release30,0.0,0.0,80.01,87.20194647201947
release29--release31,0.0,0.0,59.3,87.94478264597446
release30--release32,0.0,0.0,82.42,85.17128108869075
release31--release33,0.0,0.0,68.1,86.29670531934475
release32--release34,0.0,0.0,75.33,80.44093374204198
release33--release35,0.0,0.0,70.23,84.5697846743963
release34--release36,0.0,0.0,81.47,80.66845946984249
release35--release37,0.0,0.0,65.36,83.50208879133328
release36--release38,0.0,0.0,63.94,92.50905944074856
release37--release39,0.0,0.0,59.75,86.9172388868811
release38--release40,0.0,0.0,62.71,91.06191744340879
release39--release41,0.0,0.0,75.03,85.52977571539057
release40--release42,0.0,0.0,76.41,92.07073954983923
release41--release43,0.0,0.0,80.53,92.74603971041502
release42--release44,0.0,0.0,66.69,86.21662537847509
release43--release45,0.0,0.0,75.0,86.67307384270383
release44--release46,0.0,0.0,76.3,95.43080939947781
release45--release47,0.0,0.0,64.36,88.43309253525972
release46--release48,0.0,0.0,72.78,86.27166854505447
release47--release49,0.0,0.0,64.98,94.74334339829811
release48--release50,0.0,0.0,48.69,82.621644295302
release49--release51,0.0,0.0,51.54,83.22857788831111
release50--release52,0.0,0.0,78.87,92.63746505125815
release51--release53,0.0,0.0,87.94,91.5307955065676
release52--release54,0.0,0.0,83.36,91.65384107998769
release53--release55,0.0,0.0,71.1,92.85892101426082
release54--release56,0.0,0.0,63.87,89.35294493012572
release55--release57,0.0,0.0,66.21,88.70626525630594
release56--release58,0.0,0.0,75.34,99.96077508433356
release57--release59,0.0,0.0,75.35,99.96339007871133
release58--release60,0.0,0.0,46.07,86.32677123155526
release59--release61,0.0,0.0,46.07,86.32677123155526
release60--release62,0.0,0.0,78.15,90.97349664973753
release61--release63,0.0,0.0,76.66,84.06270806851886
