,ACDC,,FCA,
index,MOJOFM,A2A,MOJOFM,A2A
release1--release2,0,0,100,100
release2--release3,0,0,87.5,30.70652174
release3--release4,0,0,93.98,100
release4--release5,0,0,93.98,100
release5--release6,0,0,63.64,79.82162765
release6--release7,0,0,81.6,95.37366548
release7--release8,0,0,89.34,100
release8--release9,0,0,89.34,100
release9--release10,0,0,57.81,47.07560628
release10--release11,0,0,92.8,98.71420222
release11--release12,0,0,73.89,66.03005636
release12--release13,0,0,65.83,94.55550829
release13--release14,0,0,52.74,84.75212325
release14--release15,0,0,75.35,97.32334047
release15--release16,0,0,57.6,83.12531203
release16--release17,0,0,80.1,97.69010285
release17--release18,0,0,66.87,88.95874263
release18--release19,0,0,64.74,77.07778764
release19--release20,0,0,54.1,92.76586528
release20--release21,0,0,78.16,93.58043561
release21--release22,0,0,62.29,83.25769037
release22--release23,0,0,72.85,93.26862207
release23--release24,0,0,64.86,93.2796175
release24--release25,0,0,48.91,87.46033038
release25--release26,0,0,68.74,94.37193372
release26--release27,0,0,60.76,78.90408032
release27--release28,0,0,79.63,97.52076062
release28--release29,0,0,76.48,82.9763811
release29--release30,0,0,78.73,87.08648864
release30--release31,0,0,76.45,85.08745324
release31--release32,0,0,84.9,87.59728106
release32--release33,0,0,82.42,85.14580482
release33--release34,0,0,75.79,83.84255736
release34--release35,0,0,89.42,89.29596327
release35--release36,0,0,71.52,84.87801687
release36--release37,0,0,70.19,95.7264445
release37--release38,0,0,64.21,92.49552618
release38--release39,0,0,58.6,88.67647059
release39--release40,0,0,73.94,87.15602642
release40--release41,0,0,75.87,94.54094293
release41--release42,0,0,80.53,92.72805508
release42--release43,0,0,84.55,99.96475647
release43--release44,0,0,66.7,86.22326157
release44--release45,0,0,90.02,91.34948097
release45--release46,0,0,63.85,92.93695541
release46--release47,0,0,72.38,86.38601169
release47--release48,0,0,82.56,97.5959605
release48--release49,0,0,67.64,94.90209157
release49--release50,0,0,50.81,82.38775248
release50--release51,0,0,77.26,93.27885925
release51--release52,0,0,86.24,98.3305062
release52--release53,0,0,87.54,90.25779487
release53--release54,0,0,83.17,93.4298441
release54--release55,0,0,78.52,96.1759644
release55--release56,0,0,66.19,88.70301058
release56--release57,0,0,75.41,99.99738521
release57--release58,0,0,75.35,99.96339008
release58--release59,0,0,75.43,100
release59--release60,0,0,46.07,86.32677123
release60--release61,0,0,90.75,100
release61--release62,0,0,78.15,90.97349665
release62--release63,0,0,57.69,84.62092563
,,,,89.46212199
