,ACDC,,FCA,
index,MOJOFM,A2A,MOJOFM,A2A
release1--release2,0,0,0,64.33368682
release2--release3,0,0,0,68.57353302
release3--release4,0,0,0,73.86609071
release4--release5,0,0,0,82.51547637
release5--release6,0,0,0,70.01134706
release6--release7,0,0,0,81.47678656
release7--release8,0,0,0,87.60551491
release8--release9,0,0,0,87.03394546
release9--release10,0,0,0,51.98218263
release10--release11,0,0,0,100
release11--release12,0,0,0,98.57096981
release12--release13,0,0,0,99.88978114
release13--release14,0,0,0,98.66242038
release14--release15,0,0,0,99.98387617
release15--release16,0,0,0,100
release16--release17,0,0,0,99.69364721
release17--release18,0,0,0,100
release18--release19,0,0,0,100
release19--release20,0,0,0,99.79069393
release20--release21,0,0,0,27.37608004
release21--release22,0,0,0,100
release22--release23,0,0,0,100
release23--release24,0,0,0,100
release24--release25,0,0,0,100
