,ACDC,,FCA,
index,MOJOFM,A2A,MOJOFM,A2A
release1--release2,0,0,0,98.6013986
release2--release3,0,0,0,27.48880468
release3--release4,0,0,0,80.80697928
release4--release5,0,0,0,100
release5--release6,0,0,0,97.47847478
release6--release7,0,0,0,97.70944462
release7--release8,0,0,0,98.24784963
release8--release9,0,0,0,90.52258636
release9--release10,0,0,0,89.43133047
release10--release11,0,0,0,91.73189824
release11--release12,0,0,0,96.39468691
release12--release13,0,0,0,96.05522682
release13--release14,0,0,0,98.73918418
release14--release15,0,0,0,99.23172243
release15--release16,0,0,0,100
release16--release17,0,0,0,92.05510907
release17--release18,0,0,0,100
release18--release19,0,0,0,99.91485739
release19--release20,0,0,0,96.35535308
release20--release21,0,0,0,99.95967742
release21--release22,0,0,0,98.78675715
release22--release23,0,0,0,99.29577465
release23--release24,0,0,0,97.08820404
release24--release25,0,0,0,99.867286
release25--release26,0,0,0,92.97593426
release26--release27,0,0,0,100
release27--release28,0,0,0,100
release28--release29,0,0,0,100
release29--release30,0,0,0,99.26778243
release30--release31,0,0,0,100
release31--release32,0,0,0,100
release32--release33,0,0,0,99.72351823
release33--release34,0,0,0,100
release34--release35,0,0,0,100
release35--release36,0,0,0,94.68363909
release36--release37,0,0,0,97.12632954
release37--release38,0,0,0,97.12632954
release38--release39,0,0,0,98.93327756
release39--release40,0,0,0,99.87171264
release40--release41,0,0,0,99.57210098
release41--release42,0,0,0,99.70047069
release42--release43,0,0,0,99.95724669
release43--release44,0,0,0,98.48743076
release44--release45,0,0,0,96.19339313
release45--release46,0,0,0,99.84195078
release46--release47,0,0,0,100
release47--release48,0,0,0,100
release48--release49,0,0,0,95.44455544
release49--release50,0,0,0,100
release50--release51,0,0,0,100
release51--release52,0,0,0,94.78399363
release52--release53,0,0,0,99.50727884
release53--release54,0,0,0,95.50842171
release54--release55,0,0,0,99.4067629
release55--release56,0,0,0,95.66684426
release56--release57,0,0,0,99.79371628
release57--release58,0,0,0,94.60878698
release58--release59,0,0,0,81.12079276
release59--release60,0,0,0,100
release60--release61,0,0,0,97.24314553
release61--release62,0,0,0,94.50041982
release62--release63,0,0,0,96.3036679
