,ACDC,,FCA,
index,MOJOFM,A2A,MOJOFM,A2A
release1--release2,0.0,0.0,0.0,99.12383177570094
release2--release3,0.0,0.0,0.0,100.0
release3--release4,0.0,0.0,0.0,57.07126948775056
release4--release5,0.0,0.0,0.0,99.786438868126
release5--release6,0.0,0.0,0.0,90.32697547683924
release6--release7,0.0,0.0,0.0,81.49680330951486
release7--release8,0.0,0.0,0.0,93.51043643263756
release8--release9,0.0,0.0,0.0,92.7032967032967
release9--release10,0.0,0.0,0.0,75.93240093240094
release10--release11,0.0,0.0,0.0,93.7037037037037
release11--release12,0.0,0.0,0.0,92.83047050037341
release12--release13,0.0,0.0,0.0,99.33234421364985
release13--release14,0.0,0.0,0.0,99.40959409594096
release14--release15,0.0,0.0,0.0,89.5903290799194
release15--release16,0.0,0.0,0.0,95.20048602673147
release16--release17,0.0,0.0,0.0,90.86294416243655
release17--release18,0.0,0.0,0.0,93.13627254509018
release18--release19,0.0,0.0,0.0,83.1582895723931
release19--release20,0.0,0.0,0.0,91.90791768399023
release20--release21,0.0,0.0,0.0,91.00762745885187
release21--release22,0.0,0.0,0.0,90.01135073779795
release22--release23,0.0,0.0,0.0,97.34574284729403
release23--release24,0.0,0.0,0.0,97.79810298102981
release24--release25,0.0,0.0,0.0,99.45299145299145
release25--release26,0.0,0.0,0.0,91.32546842470506
release26--release27,0.0,0.0,0.0,40.93567251461988
release27--release28,0.0,0.0,0.0,63.669950738916256
release28--release29,0.0,0.0,0.0,95.52316501821969
release29--release30,0.0,0.0,0.0,99.17141377524598
release30--release31,0.0,0.0,0.0,77.60267430754537
release31--release32,0.0,0.0,0.0,98.51980844579887
release32--release33,0.0,0.0,0.0,93.7834499794154
