,ACDC,,FCA,
index,MOJOFM,A2A,MOJOFM,A2A
release1--release2,0.0,0.0,0.0,93.578352180937
release2--release3,0.0,0.0,0.0,99.22111639982691
release3--release4,0.0,0.0,0.0,84.25617078052035
release4--release5,0.0,0.0,0.0,100.0
release5--release6,0.0,0.0,0.0,97.98561151079137
release6--release7,0.0,0.0,0.0,95.71075061864174
release7--release8,0.0,0.0,0.0,99.92507492507492
release8--release9,0.0,0.0,0.0,100.0
release9--release10,0.0,0.0,0.0,99.92514970059881
release10--release11,0.0,0.0,0.0,100.0
release11--release12,0.0,0.0,0.0,100.0
release12--release13,0.0,0.0,0.0,96.24664879356568
release13--release14,0.0,0.0,0.0,100.0
release14--release15,0.0,0.0,0.0,100.0
release15--release16,0.0,0.0,0.0,100.0
release16--release17,0.0,0.0,0.0,100.0
release17--release18,0.0,0.0,0.0,100.0
release18--release19,0.0,0.0,0.0,81.70397441754226
release19--release20,0.0,0.0,0.0,93.48744717872235
release20--release21,0.0,0.0,0.0,99.91399082568807
release21--release22,0.0,0.0,0.0,100.0
release22--release23,0.0,0.0,0.0,95.37444933920705
release23--release24,0.0,0.0,0.0,99.84139571768438
release24--release25,0.0,0.0,0.0,100.0
release25--release26,0.0,0.0,0.0,100.0
release26--release27,0.0,0.0,0.0,100.0
release27--release28,0.0,0.0,0.0,100.0
release28--release29,0.0,0.0,0.0,100.0
release29--release30,0.0,0.0,0.0,100.0
release30--release31,0.0,0.0,0.0,95.02295240396231
release31--release32,0.0,0.0,0.0,93.53209906227458
release32--release33,0.0,0.0,0.0,99.86948577394936
release33--release34,0.0,0.0,0.0,95.1038930021495
release34--release35,0.0,0.0,0.0,99.40854326396496
release35--release36,0.0,0.0,0.0,100.0
release36--release37,0.0,0.0,0.0,100.0
release37--release38,0.0,0.0,0.0,100.0
release38--release39,0.0,0.0,0.0,97.38546968995834
release39--release40,0.0,0.0,0.0,100.0
release40--release41,0.0,0.0,0.0,100.0
release41--release42,0.0,0.0,0.0,99.77859778597787
release42--release43,0.0,0.0,0.0,78.81822734101152
release43--release44,0.0,0.0,0.0,99.89772436716953
