,ACDC,,FCA,
index,MOJOFM,A2A,MOJOFM,A2A
release1--release2,0.0,0.0,0.0,100.0
release2--release3,0.0,0.0,0.0,86.25429553264605
release3--release4,0.0,0.0,0.0,96.35885885885887
release4--release5,0.0,0.0,0.0,82.01262272089762
release5--release6,0.0,0.0,0.0,99.73018549747049
release6--release7,0.0,0.0,0.0,100.0
release7--release8,0.0,0.0,0.0,99.56169925826029
release8--release9,0.0,0.0,0.0,100.0
release9--release10,0.0,0.0,0.0,79.18438829121841
release10--release11,0.0,0.0,0.0,92.968578334432
release11--release12,0.0,0.0,0.0,100.0
release12--release13,0.0,0.0,0.0,92.968578334432
release13--release14,0.0,0.0,0.0,100.0
release14--release15,0.0,0.0,0.0,41.03235747303544
release15--release16,0.0,0.0,0.0,94.21200953826143
release16--release17,0.0,0.0,0.0,95.63835422920714
release17--release18,0.0,0.0,0.0,93.22916666666666
release18--release19,0.0,0.0,0.0,94.63897131552918
release19--release20,0.0,0.0,0.0,100.0
release20--release21,0.0,0.0,0.0,90.58008478957709
release21--release22,0.0,0.0,0.0,99.8654493032196
release22--release23,0.0,0.0,0.0,83.9105655414292
release23--release24,0.0,0.0,0.0,99.25991472930576
release24--release25,0.0,0.0,0.0,94.95260056366898
release25--release26,0.0,0.0,0.0,99.8631636562671
release26--release27,0.0,0.0,0.0,99.9635435654393
release27--release28,0.0,0.0,0.0,92.60019550342132
release28--release29,0.0,0.0,0.0,100.0
release29--release30,0.0,0.0,0.0,99.72643097643098
release30--release31,0.0,0.0,0.0,99.8740157480315
release31--release32,0.0,0.0,0.0,100.0
release32--release33,0.0,0.0,0.0,43.66197183098591
release33--release34,0.0,0.0,0.0,95.06088733713702
release34--release35,0.0,0.0,0.0,95.69729565941975
release35--release36,0.0,0.0,0.0,92.01935632537061
release36--release37,0.0,0.0,0.0,100.0
release37--release38,0.0,0.0,0.0,100.0
release38--release39,0.0,0.0,0.0,92.83857244150319
release39--release40,0.0,0.0,0.0,100.0
release40--release41,0.0,0.0,0.0,99.97120852227741
