,ACDC,,FCA,
index,MOJOFM,A2A,MOJOFM,A2A
commit1--commit2,0,0,0,99.71148298
commit2--commit3,0,0,0,100
commit3--commit4,0,0,0,99.71148298
commit4--commit5,0,0,0,99.71148298
commit5--commit6,0,0,0,96.60825325
commit6--commit7,0,0,0,99.72268441
commit7--commit8,0,0,0,99.72268441
commit8--commit9,0,0,0,99.72268441
commit9--commit10,0,0,0,99.72268441
commit10--commit11,0,0,0,100
commit11--commit12,0,0,0,99.72268441
commit12--commit13,0,0,0,100
commit13--commit14,0,0,0,99.72268441
commit14--commit15,0,0,0,100
commit15--commit16,0,0,0,99.72268441
commit16--commit17,0,0,0,100
commit17--commit18,0,0,0,99.72268441
commit18--commit19,0,0,0,100
commit19--commit20,0,0,0,88.7434555
commit20--commit21,0,0,0,100
commit21--commit22,0,0,0,99.75186104
commit22--commit23,0,0,0,100
commit23--commit24,0,0,0,99.75186104
commit24--commit25,0,0,0,100
commit25--commit26,0,0,0,100
commit26--commit27,0,0,0,100
commit27--commit28,0,0,0,99.75186104
commit28--commit29,0,0,0,100
commit29--commit30,0,0,0,99.75186104
commit30--commit31,0,0,0,100
commit31--commit32,0,0,0,99.75186104
commit32--commit33,0,0,0,91.58529581
commit33--commit34,0,0,0,99.65986395
commit34--commit35,0,0,0,88.61185984
commit35--commit36,0,0,0,100
commit36--commit37,0,0,0,88.2928475
commit37--commit38,0,0,0,86.51718113
commit38--commit39,0,0,0,89.16811092
commit39--commit40,0,0,0,89.97469956
commit40--commit41,0,0,0,89.26553672
commit41--commit42,0,0,0,100
commit42--commit43,0,0,0,89.26553672
commit43--commit44,0,0,0,99.909991
commit44--commit45,0,0,0,87.02377542
commit45--commit46,0,0,0,94.7862069
commit46--commit47,0,0,0,87.28149488
commit47--commit48,0,0,0,87.28149488
commit48--commit49,0,0,0,100
commit49--commit50,0,0,0,87.28149488
commit50--commit51,0,0,0,100
commit51--commit52,0,0,0,100
commit52--commit53,0,0,0,87.28149488
commit53--commit54,0,0,0,99.27293065
commit54--commit55,0,0,0,96.21008654
commit55--commit56,0,0,0,100
commit56--commit57,0,0,0,100
commit57--commit58,0,0,0,88.96969697
commit58--commit59,0,0,0,100
commit59--commit60,0,0,0,83.98642394
commit60--commit61,0,0,0,83.98642394
commit61--commit62,0,0,0,83.98642394
commit62--commit63,0,0,0,83.98642394
commit63--commit64,0,0,0,83.98642394
commit64--commit65,0,0,0,100
commit65--commit66,0,0,0,83.98642394
commit66--commit67,0,0,0,96.14450516
commit67--commit68,0,0,0,82.65492102
commit68--commit69,0,0,0,82.65492102
commit69--commit70,0,0,0,82.65492102
commit70--commit71,0,0,0,82.65492102
commit71--commit72,0,0,0,100
commit72--commit73,0,0,0,82.65492102
commit73--commit74,0,0,0,84.61758808
commit74--commit75,0,0,0,85.3051779
commit75--commit76,0,0,0,85.3051779
commit76--commit77,0,0,0,85.3051779
commit77--commit78,0,0,0,85.3051779
commit78--commit79,0,0,0,85.3051779
commit79--commit80,0,0,0,85.3051779
commit80--commit81,0,0,0,85.3051779
commit81--commit82,0,0,0,85.07376338
commit82--commit83,0,0,0,85.3051779
commit83--commit84,0,0,0,85.3051779
commit84--commit85,0,0,0,100
commit85--commit86,0,0,0,85.3051779
commit86--commit87,0,0,0,85.14021393
commit87--commit88,0,0,0,100
commit88--commit89,0,0,0,85.14021393
commit89--commit90,0,0,0,85.09101416
commit90--commit91,0,0,0,100
commit91--commit92,0,0,0,99.94363021
commit92--commit93,0,0,0,100
commit93--commit94,0,0,0,99.94369369
commit94--commit95,0,0,0,100
commit95--commit96,0,0,0,100
commit96--commit97,0,0,0,100
commit97--commit98,0,0,0,100
commit98--commit99,0,0,0,100
commit99--commit100,0,0,0,84.99278499
commit100--commit101,0,0,0,84.99278499
commit101--commit102,0,0,0,100
commit102--commit103,0,0,0,100
commit103--commit104,0,0,0,100
commit104--commit105,0,0,0,100
