,ACDC,,FCA,
index,MOJOFM,A2A,MOJOFM,A2A
release1--release2,0.0,0.0,0.0,86.78604507564063
release2--release3,0.0,0.0,0.0,93.65168539325843
release3--release4,0.0,0.0,0.0,73.32139659803043
release4--release5,0.0,0.0,0.0,89.34169278996865
release5--release6,0.0,0.0,0.0,75.31956735496559
release6--release7,0.0,0.0,0.0,96.65759813447337
release7--release8,0.0,0.0,0.0,83.19882611885546
release8--release9,0.0,0.0,0.0,83.78623188405797
release9--release10,0.0,0.0,0.0,86.28719275549805
release10--release11,0.0,0.0,0.0,98.67785405542843
release11--release12,0.0,0.0,0.0,87.79882724402346
release12--release13,0.0,0.0,0.0,85.20606531881805
release13--release14,0.0,0.0,0.0,94.55175829618622
