,ACDC,,FCA,
index,MOJOFM,A2A,MOJOFM,A2A
release1--release3,0.0,0.0,97.62,99.14965986394559
release2--release4,0.0,0.0,100.0,21.437908496732028
release3--release5,0.0,0.0,100.0,20.18348623853211
release4--release6,0.0,0.0,62.16,68.16846229187071
release5--release7,0.0,0.0,59.86,71.15551694178974
release6--release8,0.0,0.0,88.11,94.0408163265306
release7--release9,0.0,0.0,66.67,82.88732394366197
release8--release10,0.0,0.0,70.27,82.24101479915433
release9--release11,0.0,0.0,90.28,98.85521885521885
release10--release12,0.0,0.0,76.16,80.65326633165829
release11--release13,0.0,0.0,75.58,80.83907326236694
release12--release14,0.0,0.0,91.28,99.64747356051704
release13--release15,0.0,0.0,89.97,98.3957219251337
release14--release16,0.0,0.0,90.86,96.32352941176471
release15--release17,0.0,0.0,82.45,94.37706725468577
release16--release18,0.0,0.0,73.43,93.74671571203363
release17--release19,0.0,0.0,74.0,77.98383262006658
release18--release20,0.0,0.0,73.71,77.89373814041745
release19--release21,0.0,0.0,88.62,100.0
release20--release22,0.0,0.0,91.8,97.883149872989
release21--release23,0.0,0.0,88.8,95.62753036437248
release22--release24,0.0,0.0,90.54,97.5685063681976
release23--release25,0.0,0.0,90.55,92.13798636181308
release24--release26,0.0,0.0,64.69,91.16161616161617
release25--release27,0.0,0.0,72.22,92.19663114472327
release26--release28,0.0,0.0,67.58,97.45881038815973
release27--release29,0.0,0.0,89.93,94.39281288723667
release28--release30,0.0,0.0,88.94,94.06858202038924
release29--release31,0.0,0.0,80.41,93.75
release30--release32,0.0,0.0,79.21,92.82794500185804
release31--release33,0.0,0.0,100.0,24.83818770226537
release32--release34,0.0,0.0,66.08,77.38673139158576
release33--release35,0.0,0.0,100.0,20.929353985644127
release34--release36,0.0,0.0,68.75,86.78667177326695
release35--release37,0.0,0.0,72.18,91.0347271438696
release36--release38,0.0,0.0,100.0,15.607130844265049
release37--release39,0.0,0.0,100.0,18.642993024730504
release38--release40,0.0,0.0,87.22,96.97769953051643
release39--release41,0.0,0.0,85.85,96.96969696969697
release40--release42,0.0,0.0,86.09,98.2227159122466
release41--release43,0.0,0.0,83.71,95.69256756756756
release42--release44,0.0,0.0,71.32,80.93797276853253
release43--release45,0.0,0.0,75.42,84.03598971722364
release44--release46,0.0,0.0,81.88,96.54839488293507
release45--release47,0.0,0.0,81.61,94.78787878787878
release46--release48,0.0,0.0,83.43,96.54839488293507
release47--release49,0.0,0.0,83.43,96.54839488293507
release48--release50,0.0,0.0,83.33,99.4934377158646
release49--release51,0.0,0.0,83.33,99.4934377158646
release50--release52,0.0,0.0,83.63,100.0
release51--release53,0.0,0.0,82.3,98.85452462772051
release52--release54,0.0,0.0,82.3,98.85452462772051
release53--release55,0.0,0.0,84.87,100.0
release54--release56,0.0,0.0,81.28,98.15602836879432
release55--release57,0.0,0.0,81.28,98.15602836879432
release56--release58,0.0,0.0,88.15,100.0
release57--release59,0.0,0.0,88.15,100.0
release58--release60,0.0,0.0,87.9,99.63530269876003
release59--release61,0.0,0.0,87.9,99.63530269876003
release60--release62,0.0,0.0,88.18,100.0
release61--release63,0.0,0.0,88.18,100.0
release62--release64,0.0,0.0,73.97,84.72953566299665
release63--release65,0.0,0.0,73.97,84.72953566299665
release64--release66,0.0,0.0,91.17,100.0
release65--release67,0.0,0.0,91.17,100.0
release66--release68,0.0,0.0,83.51,98.83215021754064
release67--release69,0.0,0.0,83.51,98.83215021754064
release68--release70,0.0,0.0,82.76,100.0
release69--release71,0.0,0.0,71.13,89.20239946678517
release70--release72,0.0,0.0,71.13,89.16278036864313
release71--release73,0.0,0.0,88.33,99.3494840735756
release72--release74,0.0,0.0,88.34,99.39461883408072
release73--release75,0.0,0.0,89.26,100.0
