,ACDC,,FCA,,,
index,MOJOFM,A2A,MOJOFM,A2A,,
release1--release2,0,0,97.62,99.14965986,70,5
release2--release3,0,0,98.43,100,80,1
release3--release4,0,0,100,21.4379085,90,6
release4--release5,0,0,82.44,96.70212766,,62
release5--release6,0,0,66.44,69.47988224,,
release6--release7,0,0,81.7,95.37337662,,
release7--release8,0,0,83.75,96.83124539,,
release8--release9,0,0,70.77,82.66100495,,
release9--release10,0,0,91.54,99.52766532,,
release10--release11,0,0,90.68,99.32930919,,
release11--release12,0,0,75.58,80.94043887,,
release12--release13,0,0,91.28,99.88221437,,
release13--release14,0,0,91.3,99.76525822,,
release14--release15,0,0,90.03,98.63663308,,
release15--release16,0,0,93.35,97.59587865,,
release16--release17,0,0,73.93,94.24802111,,
release17--release18,0,0,87.96,99.39086294,,
release18--release19,0,0,74,77.92515396,,
release19--release20,0,0,88.22,99.82150826,,
release20--release21,0,0,88.4,99.82150826,,
release21--release22,0,0,92.02,98.09725159,,
release22--release23,0,0,90.54,97.56850637,,
release23--release24,0,0,93.11,100,,
release24--release25,0,0,90.55,92.13798636,,
release25--release26,0,0,69.05,91.87183811,,
release26--release27,0,0,65.36,98.66071429,,
release27--release28,0,0,69.91,98.15602837,,
release28--release29,0,0,89.89,94.54263566,,
release29--release30,0,0,94.34,99.28571429,,
release30--release31,0,0,80.37,94.1198786,,
release31--release32,0,0,90.73,97.30526316,,
release32--release33,0,0,100,25.32647408,,
release33--release34,0,0,100,21.56481121,,
release34--release35,0,0,69.13,88.34876543,,
release35--release36,0,0,92.15,96.95053923,,
release36--release37,0,0,76.01,93.03062302,,
release37--release38,0,0,100,17.64327109,,
release38--release39,0,0,94.23,99.26962873,,
release39--release40,0,0,86.13,97.28009259,,
release40--release41,0,0,87.36,99.6097017,,
release41--release42,0,0,86.54,98.61495845,,
release42--release43,0,0,86.78,96.91531127,,
release43--release44,0,0,68.64,80.19447288,,
release44--release45,0,0,80.97,92.65734266,,
release45--release46,0,0,81.61,94.78787879,,
release46--release47,0,0,87.51,100,,
release47--release48,0,0,83.43,96.54839488,,
release48--release49,0,0,84.61,100,,
release49--release50,0,0,83.33,99.49343772,,
release50--release51,0,0,83.63,100,,
release51--release52,0,0,83.63,100,,
release52--release53,0,0,82.3,98.85452463,,
release53--release54,0,0,84.87,100,,
release54--release55,0,0,84.87,100,,
release55--release56,0,0,81.28,98.15602837,,
release56--release57,0,0,88.15,100,,
release57--release58,0,0,88.15,100,,
release58--release59,0,0,88.15,100,,
release59--release60,0,0,87.9,99.6353027,,
release60--release61,0,0,88.18,100,,
release61--release62,0,0,88.18,100,,
release62--release63,0,0,88.18,100,,
release63--release64,0,0,73.97,84.72953566,,
release64--release65,0,0,91.17,100,,
release65--release66,0,0,91.17,100,,
release66--release67,0,0,91.17,100,,
release67--release68,0,0,83.51,98.83215022,,
release68--release69,0,0,82.76,100,,
release69--release70,0,0,82.76,100,,
release70--release71,0,0,71.13,89.20239947,,
release71--release72,0,0,87.6,99.95563443,,
release72--release73,0,0,88.34,99.39461883,,
release73--release74,0,0,89.26,100,,
release74--release75,0,0,89.26,100,,
,,,,92.39542395,,
